epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,4812.75,1.81065,1.21626,1.00674,0.7314,0.74905,0.77639,0.33141,1.69984,0.99674,0.85089,0.004225,0.004225,0.004225
177,4840.29,1.82565,1.12494,0.91519,0.60806,0.69285,0.73741,0.32073,1.65826,1.11556,0.84525,0.004192,0.004192,0.004192
178,4867.83,1.81183,1.15001,0.94039,0.61537,0.7886,0.76197,0.32933,1.71318,1.03429,0.85141,0.004159,0.004159,0.004159
179,4895.98,1.75507,1.08476,0.89823,0.57649,0.83578,0.7993,0.34646,1.65665,1.03507,0.84634,0.004126,0.004126,0.004126
180,4923.44,1.80006,1.15524,0.95364,0.5854,0.79688,0.78065,0.34324,1.69572,1.04734,0.84924,0.004093,0.004093,0.004093
181,4951.19,1.74951,1.10327,0.91654,0.74916,0.72997,0.82023,0.40455,1.6455,1.01653,0.84966,0.00406,0.00406,0.00406
182,4978.63,1.80654,1.244,1.03687,0.66374,0.73642,0.81136,0.42262,1.62148,1.03298,0.84834,0.004027,0.004027,0.004027
183,5006.37,1.81332,1.16203,0.98699,0.66273,0.71448,0.74048,0.35671,1.67564,1.06793,0.84591,0.003994,0.003994,0.003994
184,5033.87,1.80493,1.1311,0.98231,0.68997,0.76217,0.74237,0.34185,1.72011,1.0206,0.84886,0.003961,0.003961,0.003961
185,5061.42,1.82583,1.17512,1.0003,0.53918,0.96438,0.82713,0.35791,1.64075,1.06377,0.84986,0.003928,0.003928,0.003928
186,5089.12,1.8227,1.15161,0.98278,0.61317,0.6685,0.65491,0.28478,1.66763,1.14148,0.85263,0.003895,0.003895,0.003895
187,5116.99,1.80095,1.08447,0.9354,0.59616,0.62449,0.68615,0.2876,1.60293,1.11122,0.84432,0.003862,0.003862,0.003862
